beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"Association amicale de danse","Hôtel de Ville
94440 Villecresnes",Fonctionnement,1000.00,SCHWARTZENBERG,Roger-Gérard,Val-de-Marne,"Radical, républicain, démocrate et progressiste",224-02,PA2713
"Association Amicale des anciens des 15ème et 16ème","1 Bd Bernabo 13015 Marseille","Animation de quartier",1500.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",157-05,PA330613
"Association Amicale des Chasseurs d'Arandas",Arandas,"Aménagement local",1500.00,ABAD,Damien,Ain,"Les Républicains",113-07,PA605036
"Association Amicale des Jeunes de la Cabucelle","29 bd Denis Papin 13015 Marseille","Animation de quartier",4000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-02,PA330613
"Association Amicale des locataires du Castellas","Chez Mr Berrard - 1 rue des Champs - La Castellas - 13015 Marseille","Animation de quartier",2000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Groupe Socialiste, républicain et citoyen",163-01,PA330613
"Association Amicale Marinière","90 chemin du Marinier - 13016 Marseille","Animation de quartier",2000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Groupe Socialiste, républicain et citoyen",163-01,PA330613
"Association Amicale pour le Don du Sang Bénévole de la Région Dieppoise","M. Robert TERRIER Président
Ecole Sonia Delaunay
Appartement 4 - Allée des Ormes
76200 DIEPPE","Achat matériel et équipement",1200.00,HUREL,Sandrine,Seine-Maritime,"Socialiste, républicain et citoyen",204-12,PA304016
"ASSOCIATION AMIS JEAN BOSCO","Le Mesnil
BP 82
14111 LOUVIGNY","Acquisition d'un véhicule",3000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",163-01,PA1198
"Association Amitié Loisirs","Hôpital Corsin
6 rue de l'hôpital
71250 Tramayes","achat d'un minibus pour les personnes handicapées",5000.00,THÉVENOUD,Thomas,Saône-et-Loire,"Députés non inscrits",157-04,PA608672
"Association Anciens Combattants marins de Saint Tropez",Saint-Tropez,Fonctionnement,1000.00,COUVE,Jean-Michel,Var,"Les Républicains",169-03,PA951
"Association Angérienne d'Action Artistique (A4)","BP 90030
17412 SAINT JEAN D'ANGÉLY Cedex","Festival d'été ""Théâtre en l'Abbaye 2015""",5000.00,QUÉRÉ,Catherine,Charente-Maritime,"Socialiste, républicain et citoyen",224-02,PA331014
"Association Anim' 17",Paris,Fonctionnement,2000.00,DEBRÉ,Bernard,Paris,"Les Républicains",224-02,PA1020
"Association Animation Agiot","3 Ter avenue du Mont Cassel - ELANCOURT",Fonctionnement,3000.00,HAMON,Benoît,Yvelines,"Socialiste, républicain et citoyen",163-01,PA590032
"Association Animations culturelles","Bernard LOPEZ Président
2 rue Emile Zola
66170 Millas","organisation féria de Millas 2015",5000.00,OLIVE,Robert,Pyrénées-Orientales,"Socialiste, républicain et citoyen",224-02,PA642885
"Association ANVAYA","Ambassade de France
Service de coopération et d'action culturelle
1, Boulevard Monivong
PHNOM PENH
CAMBODGE","Mémorial en hommage aux victimes du régime Khmer rouge",15000.00,QUÉRÉ,Catherine,Charente-Maritime,"Socialiste, républicain et citoyen",209-02,PA331014
"Association Anvaya - Cambodge",,Fonctionnement,5000.00,MARIANI,Thierry,"Français établis hors de France","Les Républicains",209-02,PA2073
"Association APD",Toulouse,"Mise en place d'ateliers ludiques intergénérationnels",5000.00,ARRIBAGÉ,Laurence,Haute-Garonne,"Les Républicains",157-05,PA642759
"ASSOCIATION APIC MX","Espace Jean Mantelet
Boulevard de l'Espérance
14123 CORMELLES LE ROYAL","Acquisition de matériel informatique pour un projet de formation",8000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",103-01,PA1198
"Association Apostrophe",Marseille,Fonctionnement,1000.00,TEISSIER,Guy,Bouches-du-Rhône,"Les Républicains",224-02,PA2796
"Association APR (Association pour la Rencontre)","12 allée des petits pains
95800 CERGY","réfection de leur locaux situés sur le quartier Axe-Majeur Horloge",8000.00,LEFEBVRE,Dominique,Val-d'Oise,"Socialiste, républicain et citoyen",163-01,PA610594
"Association APS",HYERES,Fonctionnement,8000.00,GIRAN,Jean-Pierre,Var,"Les Républicains",304-17,PA1483
"Association Aqueduc","13 chemin neuf
34980 Montferrier sur lez","Vie locale",1000.00,"DOMBRE COSTE",Fanny,Hérault,"Socialiste, républicain et citoyen",163-01,PA606573
"Association arboricole de Hundling",HUNDLING,Fonctionnement,1000.00,LETT,Céleste,Moselle,"Les Républicains",154-13,PA267057
"Association Arboricole de la Vallée de la Mossig",Kirchheim,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",154-11,PA266774
"Association AREA","8, rue Ferrère
33140 Villenave d'Ornon","Achat d'un véhicule pour les activités",4000.00,MAMÈRE,Noël,Gironde,Écologiste,224-02,PA2045
"Association ARLOLOJAC","Place du Séminaire
64400 OLORON-STE-MARIE","Achat de matériel informatique",1000.00,LASSALLE,Jean,Pyrénées-Atlantiques,"Députés non inscrits",219-01,PA1838
"Association ARPEJE",Guérande,Fonctionnement,2000.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",163-04,PA267728
"Association Art Saint-Germain des Prés","27 rue Guénégaud
75006 PARIS",Fonctionnement,3000.00,FILLON,François,Paris,"Les Républicains",224-02,PA1310
"Association Art'Bramains","Mairie 27210 BEUZEVILLE",Fonctionnement,3000.00,MORIN,Hervé,Eure,"Union des démocrates et indépendants",131-02,PA2236
"Association ARTETSI Le Lavandou",Lavandou,Fonctionnement,2500.00,COUVE,Jean-Michel,Var,"Les Républicains",304-17,PA951
"Association Artisanale du Libournais","125 rue Georges Pompidou -
BP 162 -
33500 Libourne","manifestation en faveur de l'apprentissage",2000.00,BOUDIÉ,Florent,Gironde,"Socialiste, républicain et citoyen",134-02,PA606507
"Association Artiste SM 65","Centre Social  des Rosiers
21, Traverse des Rosiers
13014 Mars",Fonctionnement,10000.00,ANDRIEUX,Sylvie,Bouches-du-Rhône,"Députés non inscrits",224-02,PA271
"Association artistique de la Vallée
de Munster",Munster,Fonctionnement,2000.00,CHRIST,Jean-Louis,Haut-Rhin,"Les Républicains",224-02,PA267358
"Association artistique de Vernouillet","10 bis, rue Albert Labrousse - 78540 Vernouillet",Fonctionnement,2000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",224-02,PA345897
"ASSOCIATION ARTISTOCHATS","13 rue Guyon de Guercheville
14200 HEROUVILLE SAINT CLAIR","Acquisition d'un portique autonome",1500.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",163-01,PA1198
"Association Arts",TOULON,Fonctionnement,15000.00,VITEL,Philippe,Var,"Les Républicains",157-01,PA267506
"Association Arts Diffusion ""Le Générateur""","16, rue Charles Frérot, 94250 Gentilly","Théâtre - Culture",10000.00,LAURENT,Jean-Luc,Val-de-Marne,"Socialiste, républicain et citoyen",224-02,PA610481
"Association Arts et histoires",Château-Thierry,Fonctionnement,1500.00,KRABAL,Jacques,Aisne,"Radical, républicain, démocrate et progressiste",224-02,PA605084
"Association Arts et Loisirs","8, allée des vignes - 13015 Marseille","Théâtre de quartier",4000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Groupe Socialiste, républicain et citoyen",224-02,PA330613
"Association Arts et Musique","17 rue des Ecoles
31360 SAINT MARTORY","Association culturelle",2000.00,AVIRAGNET,Joël,Haute-Garonne,"Socialiste, républicain et citoyen",224-02,PA642764
"Association ASL Bd Perrin","36 Bd Perrin Chez Mr BOYER 13015 Marseille","Animation de quartier",4000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA330613
"Association ASP 83",TOULON,Fonctionnement,1500.00,VITEL,Philippe,Var,"Les Républicains",157-05,PA267506
"ASSOCIATION ASPTT - Aéro Club Côte de Nacre","Aéroclub Côte de Nacre
Aéroport de Caen
14650 CARPIQUET","Réfection du sol d'un hangar pour avion",4000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",219-01,PA1198
"ASSOCIATION ASPTT CAEN - SECTION VOLLEY BALL","13 rue de la Hache
14000 CAEN","Acquisition de matériel",4000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",219-01,PA1198
"Association ASSAD","13 mail maurice de Fontenay - 93 120 La Courneuve","Accompagnement scolaire",1000.00,BUFFET,Marie-George,Seine-Saint-Denis,"Gauche démocrate et républicaine",163-02,PA689
"Association Astronomique de Belle Ile en Mer (AABI)",,Fonctionnement,1000.00,"LE RAY",Philippe,Morbihan,"Les Républicains",163-01,PA607603
"Association Ateliers Eveil et Sens","6 rue du huit mai 1945
92230 GENNEVILLIERS","Austime / ateliers Montessori",5000.00,BACHELAY,Alexis,Hauts-de-Seine,"Socialiste, républicain et citoyen",157-04,PA610066
"Association ATTACHAROUK","8 rue Jean Moulin
92230 GENNEVILLIERS","Solidarité internationale",5000.00,BACHELAY,Alexis,Hauts-de-Seine,"Socialiste, républicain et citoyen",209-02,PA610066
"Association Au bonheur des dames","111 rue Rabelais- 13016 Marseille","Animation de quartier",6000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA330613
"Association au Développement Personnel Social et/ou Professionnel",,Fonctionnement,1500.00,FASQUELLE,Daniel,Pas-de-Calais,"Les Républicains",304-17,PA334149
"Association Au fil des Nuages Berlin","Schierker Str. 25
12051 Berlin
Allemagne","pour l’achat de matériel technique et pédagogique",3000.00,"LE BORGN'",Pierre-Yves,"Français établis hors de France","Socialiste, républicain et citoyen",185-02,PA610936
"Association au grès de la tour Poterie ACBM","19C montée des oliviers, 30200 Bagnols sur Ceze","changement de four / poterie",1000.00,PRAT,Patrice,Gard,"Socialiste, républicain et citoyen",224-02,PA606225
"Association Au près de Justin",Charly,Fonctionnement,2000.00,TERROT,Michel,Rhône,"Les Républicains",157-01,PA2801
"Association AUGAD 83 Les Arcs","Les Arcs sur Argens",Fonctionnement,2000.00,COUVE,Jean-Michel,Var,"Les Républicains",203-10,PA951
"Association Autisme Espoir Saint-Germain-en-Laye",Saint-Germain-en-Laye,Fonctionnement,2000.00,MORANGE,Pierre,Yvelines,"Les Républicains",157-01,PA2229
"Association Autrefois",Firminy,Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",224-02,PA267429
"Association Aux F.R.I.N.G.U.E.S.","18, avenue du Général de Gaulle
14110 Condé-sur-Noireau",Fonctionnement,3000.00,TOURRET,Alain,Calvados,"Radical, républicain, démocrate et progressiste",177-11,PA2828
"Association Auxalia",Boulogne-Billancourt,Fonctionnement,2000.00,SOLÈRE,Thierry,Hauts-de-Seine,"Les Républicains",102-02,PA346876
"Association Avenir Santé",Toulouse,"Financement d'actions de prévention à destination des 12-25 ans",1000.00,ARRIBAGÉ,Laurence,Haute-Garonne,"Les Républicains",204-12,PA642759
"Association Avicole de Dannemarie et Environs",Dannemarie,Fonctionnement,1500.00,REITZER,Jean-Luc,Haut-Rhin,"Les Républicains",206-02,PA2529
"Association avicole des Alpes mancelles","4 place des bois fadé
72130 Douillet-le-Joly","Achat de cages",1200.00,DUBOIS,Françoise,Sarthe,"Socialiste, républicain et citoyen",113-07,PA608718
"Association Awale",Rambervillers,"Normalisation d'une école au Burkina Faso",1000.00,CHERPION,Gérard,Vosges,"Les Républicains",209-02,PA856
"Association Axis",TOULON,Fonctionnement,2000.00,VITEL,Philippe,Var,"Les Républicains",304-17,PA267506
"Association Ayguade Historique",HYERES,Fonctionnement,4000.00,GIRAN,Jean-Pierre,Var,"Les Républicains",224-02,PA1483
"Association BABART","16 rue de la treille
30210 Collias","Création d'outils à destination du grand public : une mallette pédagogique",3700.00,CAVARD,Christophe,Gard,Écologiste,224-02,PA606258
"Association Bac Pro Commerce","LP Aristide Briand
2, rue Pierre Sémard
27031 - Evreux Cédex",Fonctionnement,1500.00,"LE MAIRE",Bruno,Eure,"Les Républicains",141-03,PA331481
"Association BALISQY","Montigny le Bretonneux",Fonctionnement,3000.00,"DE MAZIÈRES",François,Yvelines,"Les Républicains",304-14,PA609345
"Association Banque Alimentaire des H.P.","4 place de la Mairie
65800 ORLEIX","Permettre l'acquisition d'un véhicule réfrigéré, pour collecter les aliments invendus dans les grandes surfaces",2000.00,DUBIÉ,Jeanine,Hautes-Pyrénées,"Radical, républicain, démocrate et progressiste",304-14,PA608292
"Association BAOBAB","5 cour du gros caillou
95800 CERGY",Fonctionnement,1500.00,LEFEBVRE,Dominique,Val-d'Oise,"Socialiste, républicain et citoyen",163-01,PA610594
"Association BARDANE, La Manufacture des Textes",,"Culture pour tous, ateliers d'écriture",2000.00,CLERGEAU,Marie-Françoise,Loire-Atlantique,"Socialiste, républicain et citoyen",224-02,PA877
"Association Barétous SLA","Route du Col de Lie
64570 ARETTE","9ème édition du Trail de Barétous",1000.00,LASSALLE,Jean,Pyrénées-Atlantiques,"Députés non inscrits",219-01,PA1838
"ASSOCIATION BASKET ENTENTE SPORTIVE TROARN","10 rue des Bleuets
14670 TROARN","Organisation d'un voyage",1000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",219-01,PA1198
"Association bayeusaine de modélisme","75 rue Montfiquet
14400 BAYEUX","Aménagements nécessaires pour  l'intégration des personnes présentant un handicap moteur",1750.00,ATTARD,Isabelle,Calvados,Écologiste,157-04,PA605625
"Association Becquart Canon d'Or",LAMBERSART,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",134-02,PA1001
"Association Belfort de Vol à Voile","52 GRANDE RUE 90300 SERMAMAGNY",Fonctionnement,5000.00,ZUMKELLER,Michel,Territoire-de-Belfort,"Union des démocrates et indépendants",219-01,PA267330
"Association Beligneux Histoire & Culture",Beligneux,Fonctionnement,1000.00,"DE LA VERPILLIÈRE",Charles,Ain,"Les Républicains",224-02,PA1012
"Association Belle Rive","3, rue du Cormier
17100 SAINTES","Réalisation d'un film documentaire",3000.00,QUÉRÉ,Catherine,Charente-Maritime,"Socialiste, républicain et citoyen",163-01,PA331014
"Association Béthisy Festif","Béthisy st Pierre",Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,"Les Républicains",224-02,PA1031
"Association Béthune Roller Hockey","88 rue du Croquet
62920 Chocques","Sport (Achat matériel et tournois)",2000.00,SAINT-ANDRÉ,Stéphane,Pas-de-Calais,"Radical, républicain, démocrate et progressiste",219-01,PA608120
"Association Béthune Solidarité Loisirs (ABSL)","318 rue de Lille
62400 Béthune","Social et vie locale (aide aux ateliers enfants-parents)",4500.00,SAINT-ANDRÉ,Stéphane,Pas-de-Calais,"Radical, républicain, démocrate et progressiste",163-01,PA608120
"Association Bibliothèque Sonore","110 place de l'Agora
91000 Evry","acquisition matériel pour non voyant",2000.00,"DA SILVA",Carlos,Essonne,"Socialiste, républicain et citoyen",157-04,PA267623
"Association Biélorussie/cChâteaurenard",CHATEAURENARD,Fonctionnement,1000.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",224-02,PA330788
"Association Bio solidaire Senillé","32 rue du Dolmen
86100 SENILLÉ","Aide à l'achat d'un véhicule utilitaire électrique",14000.00,MASSONNEAU,Véronique,Vienne,Écologiste,154-14,PA609816
"Association BLVL Festival","40  avenue d'Italie - 75013 Paris","organisation du festival IRRUEPTION 2015",10000.00,CARREY-CONTE,Fanélie,Paris,"Socialiste, républicain et citoyen",224-02,PA642940
"Association BODADON","14, rue des Abeilles
13001 Marseille","Activités culturelles",2000.00,CARLOTTI,Marie-Arlette,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA590034
"Association Bondoufle Ecole Loisirs ABEL","26 ter rue Charles de Gaulle
91070 Bondoufle","acquisition matériel pédagogique",3000.00,"DA SILVA",Carlos,Essonne,"Socialiste, républicain et citoyen",230-06,PA267623
"Association Boule du rond point de Ste Marthe","C/O Mr Lascombes - 175 chemin de Ste Marthe bat A -13015 Marseille","Club de boules",2000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",219-01,PA330613
"Association bouliste du Vallon",,Fonctionnement,1500.00,TIAN,Dominique,Bouches-du-Rhône,"Les Républicains",219-01,PA2815
"Association Bouliste Thiers Cluvier","5 rue Cluvier - Nice",Fonctionnement,1500.00,CIOTTI,Éric,Alpes-Maritimes,"Les Républicains",163-01,PA330240
"Association Brestoise pour l'Alphabétisation et l'Apprentissage du Fançais pour les Etrangers","7 rue Watteau
29222 Brest Cedex 2","Equipement (achat de matériel informatique)",5000.00,ADAM,Patricia,Finistère,"Socialiste, républicain et citoyen",107-02,PA267695
"Association Bridzic","Chez Mr CHOULAK - 116 bd Grawitz - 13016 Marseille","Animation de quartier",10000.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA330613
"Association Bulles de Savon","59700 MARCQ-EN-BAROEUL",Fonctionnement,2000.00,GÉRARD,Bernard,Nord,"Les Républicains",304-17,PA1459
"Association BUMP",HYERES,Fonctionnement,1500.00,GIRAN,Jean-Pierre,Var,"Les Républicains",224-02,PA1483
"Association Butte Citronnelle","11 ter, rue de la Butte Citronnelle
97427 Etang Salé les Hauts",Fonctionnement,2000.00,ROBERT,Thierry,Réunion,"Radical, républicain, démocrate et progressiste",123-04,PA610733
"Association C'est notre Histoire: spectacles et créations",Saint-Germain-en-Laye,Fonctionnement,10000.00,MORANGE,Pierre,Yvelines,"Les Républicains",224-02,PA2229
"Association C.R.I.S.","Avenue de Bretagne - 59 000 Lille","Asso culurelle de mémoire",25000.00,CANDELIER,Jean-Jacques,Nord,"Gauche démocrate et républicaine",334-01,PA267492
